Versuch;Users Nest GraphQL;Bookings Nest GraphQL;Parkingspaces Nest GraphQL;Users Nest REST;Bookings Nest REST;Parkingspaces Nest REST;Users Java GraphQL;Bookings Java GraphQL;Parkingspaces Java GraphQL;Users Java REST;Bookings Java REST;Parkingspaces Java REST
1;279;140;72;76;71;25;1612;1276;1111;1347;837;46
2;129;110;173;40;41;38;921;1000;1038;182;623;41
3;62;141;46;37;56;31;834;1160;1136;149;757;47
4;61;127;56;44;45;22;820;1204;959;176;654;41
5;50;98;49;163;37;24;824;1222;1332;203;779;48
6;110;117;53;35;66;28;769;1153;1009;183;666;54
7;63;112;61;48;59;26;842;993;922;173;589;55
8;79;111;51;39;43;29;893;1249;1131;177;663;33
9;73;133;53;129;44;31;866;1099;1036;169;683;40
10;100;106;51;45;49;35;797;1127;928;170;677;29
11;90;89;50;36;39;25;922;1128;1049;174;716;53
12;61;88;49;39;51;30;826;4712;1425;219;770;46
13;632;174;837;47;52;27;1849;1343;1407;177;796;28
14;223;271;51;44;41;28;957;1519;1381;204;872;40
15;58;98;52;45;37;35;993;1216;1062;206;739;34
16;65;123;62;80;85;27;904;1114;1034;242;734;42
17;119;125;74;43;55;34;840;1110;933;172;623;28
18;80;88;79;37;53;26;769;1193;1256;195;731;39
19;76;100;62;41;54;28;790;1051;982;183;849;34
20;68;122;65;89;83;31;811;1089;1129;185;624;63
21;122;168;62;72;51;37;874;994;1037;188;734;42
22;57;100;62;39;40;41;836;1212;975;180;686;35
23;91;94;67;38;50;27;896;1139;1175;204;666;32
24;69;144;61;68;64;29;874;1243;1288;196;898;38
25;193;199;55;38;44;27;846;1336;1342;186;696;33
26;77;117;66;50;43;26;933;1614;1313;204;718;39
27;67;98;83;49;53;28;925;1561;1296;242;697;37
28;74;98;56;44;54;31;924;1060;1088;195;662;35
29;71;103;79;37;44;31;898;1022;961;273;830;27
30;82;100;57;48;56;28;836;1180;1342;191;690;28
31;84;92;64;46;52;64;753;1425;1115;195;646;36
32;62;111;56;43;38;27;783;1152;975;189;816;36
33;69;88;60;51;70;28;810;1480;1134;204;630;91
34;131;114;59;34;47;31;884;1003;985;167;692;23
35;71;106;63;40;68;24;932;1324;1185;202;576;31
36;77;85;56;40;47;28;752;1292;1174;188;702;30
37;45;77;147;32;44;26;890;1346;1155;184;659;44
38;68;98;67;30;44;29;786;1053;1243;188;722;36
39;67;101;57;43;73;27;815;1345;1001;178;800;29
40;158;105;53;32;84;25;825;1323;1124;187;883;47
41;74;128;49;47;48;30;915;1219;1155;185;672;29
42;61;102;56;43;50;27;897;1081;1120;238;694;29
43;68;86;58;41;42;32;988;1627;1092;237;675;34
44;64;95;124;40;46;36;805;1356;1061;182;856;35
45;61;283;109;63;58;38;1254;1233;1353;233;1052;33
46;74;102;53;36;37;27;810;1521;1534;200;942;27
47;67;136;102;66;199;35;761;1077;1188;181;662;32
48;125;96;73;47;54;33;951;1201;1242;197;668;218
49;73;92;84;32;49;35;783;1270;1122;173;729;49
50;59;93;60;48;98;77;890;1223;1160;186;683;50
51;115;116;50;32;39;26;799;1229;1374;312;730;37
52;68;102;46;34;48;27;823;1234;1097;186;767;36
53;77;96;79;46;49;25;818;1249;1431;245;874;37
54;53;108;48;111;50;31;950;1544;1651;180;790;32
55;119;141;48;53;36;26;904;1376;1277;200;744;41
56;68;105;51;38;44;30;808;1170;1138;113;776;36
57;49;85;48;109;64;28;872;1239;1173;192;741;40
58;130;81;48;31;45;26;877;1191;1376;194;753;27
59;64;95;76;63;38;29;856;1290;1174;176;647;47
60;59;93;83;55;53;37;1185;1249;1105;210;716;34
61;67;102;58;42;89;58;837;1079;1569;256;1090;41
62;183;110;75;50;39;28;849;1315;1269;204;702;52
63;58;108;54;36;45;30;861;1241;1152;196;669;35
64;79;79;53;42;50;23;763;1156;1210;203;668;40
65;62;205;66;55;60;35;1286;1160;1390;191;808;44
66;66;104;62;43;101;53;696;1099;1117;175;705;59
67;152;122;59;46;44;29;886;1162;931;174;668;37
68;89;87;52;40;44;25;856;1202;1041;181;705;45
69;69;102;66;37;54;30;760;1210;1076;185;707;28
70;64;103;52;40;40;22;828;1257;1117;194;623;36
71;70;87;63;46;57;61;785;1030;1188;189;688;32
72;148;96;59;40;39;27;737;1128;1015;162;754;38
73;75;109;81;47;40;33;750;1287;1157;177;681;37
74;77;95;78;87;105;33;784;1108;1022;180;656;31
75;139;95;48;42;48;28;791;1244;1078;190;696;35
